caderno_numero,tec_id,banca,concurso,ano,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
201,3627565,FEPESE,Pol Mun (Pref Chapecó)/Pref Chapecó/2025,2025,"De acordo com a Lei nº 11.340/2006 (Lei Maria da Penha), a violência contra a mulher que lhe cause dano emocional e diminuição da autoestima…",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,1
202,3612926,FUNDATEC,Eng (Porto Mauá)/Pref Porto Mauá/Agrônomo/2025,2025,"Douglas e Andreia são namorados há três anos. Em um momento de fúria, Douglas agrediu Andreia na rua. A Lei Maria da Penha poderia ser aplic…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
203,3607836,Instituto AVALIA,Ag Pol Jud (PC MS)/PC MS/Escrivão de Polícia Judiciária/2025,2025,"Durante uma discussão, Carla teve o celular destruído por seu ex-namorado Marcos, com quem não mantém mais convivência. Ele alegou que o apa…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 2): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
204,3605267,CEBRASPE (CESPE),AJ (TJ PA)/TJ PA/Pedagogia/2025,2025,"Com base nas disposições do Programa Nacional de Direitos Humanos (PNDH-3), da Lei Maria da Penha (Lei n.º 11.340/2006) e da Lei da Mediação…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
205,3603914,FURB,Adv CS (Pref Biguaçu)/Pref Biguaçu/2025,2025,"Maria e João são legalmente casados há mais de 25 anos, pais de três filhos e já possuem dois netos. Em uma determinada noite, João constran…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
206,3600042,SELECON,CSoc (Pref Nobres)/Pref Nobres/2025,2025,"De acordo com a Lei Maria da Penha, nº 11.340, de 07 de agosto de 2006, configura violência doméstica e familiar contra a mulher qualquer aç…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
207,3597162,IBAM,GCM (S Vicente)/Pref São Vicente/2025,2025,"A Lei Maria da Penha classifica diversas formas de agressão que afetam a dignidade da mulher no contexto familiar ou doméstico, considerando…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
208,3596630,IBAM,Or So (Pref Franca)/Pref Franca/2025,2025,"A Lei nº 11.340, de 7 de agosto de 2006, também conhecida como Lei Maria da Penha representa um marco na luta contra a violência doméstica e…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
209,3850498,FUNDATEC,AAd (Pref Imbé)/Pref Imbé/2025,2025,"Raíssa, mulher lésbica, foi injuriada por Ângela, colega de trabalho com quem Raíssa convive e mantém relação íntima de afeto, a despeito de…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
210,3595910,IBAM,GCM (S Vicente)/Pref São Vicente/2025,2025,"A Lei Maria da Penha ampliou a noção de violência doméstica para além da agressão física, reconhecendo-a como expressão de desigualdade de p…",NOVA,,U1,6,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 6. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,1
