caderno_numero,tec_id,banca,concurso,ano,gabarito,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
1,3819252,FAU UNICENTRO,ASoc (Pref Marmeleiro)/Pref Marmeleiro,2026,E,"A Lei nº 11.340/2006, Lei Maria da Penha cria mecanismos para coibir a violência doméstica e familiar contra a mulher. Sobre o tema, marque a alternat…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,1
2,3767196,FUNDATEC,ACS (Pref Coqueiral)/Pref Coqueiral/PSF I,2026,C,"Diariamente, são noticiadas situações de violência envolvendo mulheres. Nesse cenário, os profissionais de saúde, principalmente os que atuam na atenç…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,1
3,3848260,CPCON UEPB,Ori Soc (Pref Malta)/Pref Malta,2026,E,"Uma mulher de 43 anos, vítima de violência doméstica há 15 anos, procurou a delegacia para fazer um boletim de ocorrência após sofrer agressões física…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,1
4,3342884,Instituto Consulplan,Aux (Pref Carangola)/Pref Carangola/Serviços Públicos,2025,A,"Sobre a Lei Maria da Penha, Lei nº 11.340/2006, que completou 18 anos em agosto de 2024, assinale a afirmativa INCORRETA.",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,1
5,3621966,FUNDATEC,Aux SG (Pref N Alvorada (RS))/Pref N Alvorada (RS),2025,A,"Pamela, estudante de Direito, estava preparando uma apresentação sobre a Lei Maria da Penha. Após estudar a legislação e seus fundamentos, ela conclui…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,1
6,3564236,IGEDUC,ASoc (Pref Japaratinga)/Pref Japaratinga,2025,A,"Conforme o art. 2º da Lei nº 11.340/2006, assinale a alternativa CORRETA sobre os direitos garantidos às mulheres:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,2
7,3688964,FUNDATEC,Prof (Pref Montenegro)/Pref Montenegro/Área I,2025,B,"Considerando as disposições da Lei nº 11.340/2006 (Lei Maria da Penha) analise as assertivas abaixo e assinale V, se verdadeiras, ou F, se falsas. ( )…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,2
8,3486848,FUNDATEC,Sold Bomb (CBM RS)/CBM RS,2025,C,"Para responder a questão, considere a Lei nº 11.340/2006 (conhecida como Lei Maria da Penha). Considerando o previsto na referida Lei, analise as segu…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,2
9,3693352,FUNATEC,Vig (Pref J Vieiras)/Pref J Vieiras,2025,B,A Lei Maria da Penha (Lei nº 11.340/2006) é um importante instrumento de combate à violência contra:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,2
10,3486851,FUNDATEC,Sold Bomb (CBM RS)/CBM RS,2025,E,"Para responder a questão, considere a Lei nº 11.340/2006 (conhecida como Lei Maria da Penha). Considerando o disposto na referida Lei, a integralidade…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,2
