caderno_numero,tec_id,banca,concurso,ano,enunciado,alternativas,gabarito,unidades,artigos,uso_pedagogico,situacao_juridica,confianca,arquivo_origem,pagina,status_banco,motivo_banco,revisao_manual,importar_agora
216,3564240,IGEDUC,ASoc (Pref Japaratinga)/Pref Japaratinga/2025,2025,"A Lei Maria da Penha foi criada para prevenir, punir e erradicar a violência doméstica e familiar contra a mulher no Brasil, estabelecendo mecanismos para garantir a proteção das vítimas e a responsabilização dos agressores. Sobre essa legislação, assinale a alternativa correta.","a) A Lei Maria da Penha prevê medidas protetivas de urgência que podem ser concedidas independentemente da existência de processo criminal contra o agressor. | b) A Lei Maria da Penha prevê que, para garantir a proteção da vítima, o juiz deve ouvir obrigatoriamente o agressor antes da concessão de medidas protetivas. | c) A Lei Maria da Penha determina que a pena do agressor só poderá ser aplicada caso a vítima registre boletim de ocorrência e solicite expressamente a punição. | d) A aplicação da Lei Maria da Penha depende da comprovação de que a vítima e o agressor possuem vínculo matrimonial ou relação estável, não se aplicando a relacionamentos casuais.",A,U4,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,3,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
221,3520358,FACAPE,Ed Soc (Pref Afrânio)/Pref Afrânio/2025,2025,"Paula registrou boletim de ocorrência contra seu ex-companheiro, Fábio, com quem conviveu em união estável por cinco anos. Segundo o relato dela, ele passou a enviar dezenas de mensagens diárias com xingamentos, humilhações e ameaças veladas, além de vigiá-la nas redes sociais e comparecer repetidamente em seu trabalho. Diante da situação, foi requerido o reconhecimento da prática de violência psicológica contra a mulher. Considerando a situação narrada e a legislação aplicável, assinale a alternativa correta.","a) A violência psicológica contra a mulher configura infração de menor potencial ofensivo e, portanto, sua punibilidade exige a tentativa de conciliação entre as partes antes do oferecimento da denúncia. | b) Para a caracterização da violência psicológica, é necessário que a agressão seja praticada presencialmente. | c) A prática de violência psicológica contra a mulher exige vínculo de coabitação entre agressor e vítima no momento dos fatos. | d) A conduta descrita configura apenas contravenção penal de perturbação do sossego, sendo inaplicável a Lei nº 11.340/2006 fora do contexto de convivência atual. | e) A prática de violência psicológica contra a mulher é prevista expressamente na Lei Maria da Penha, podendo ser oferecida denúncia pelo crime previsto no art. 147-B do Código Penal.",E,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,4,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
260,3824093,Instituto ACCESS,ASoc (Pref Rodeiro)/Pref Rodeiro/2025,2025,"Na forma da Lei Maria da Penha, nome pelo qual ficou popularmente conhecido o instrumento que criou mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do art. 226, § 8º da Constituição Federal, da Convenção sobre a Eliminação de Todas as Formas de Discriminação contra as Mulheres e da Convenção Interamericana para Prevenir, Punir e Erradicar a Violência contra a Mulher; dispõe sobre a criação dos Juizados de Violência Doméstica e Familiar contra a Mulher; altera o Código de Processo Penal, o Código Penal e a Lei de Execução Penal; e dá outras providências, podemos afirmar que a violência psicológica se configura corretamente quando a conduta do(a) agressor(a)","a) configurar ofensa à integridade ou saúde corporal da vítima. | b) configurar retenção, subtração, destruição parcial ou total de seus objetos, instrumentos de trabalho, documentos pessoais, bens, valores e direitos ou recursos econômicos, incluindo os destinados a satisfazer as necessidades da vítima. | c) configurar calúnia, difamação ou injúria. | d) conduta que a constranja a presenciar, a manter ou a participar de relação sexual não desejada, mediante intimidação, ameaça, coação ou uso da força; que a induza a comercializar ou a utilizar, de qualquer modo, a sua sexualidade, que a impeça de usar qualquer método contraceptivo ou que a force ao matrimônio, à gravidez, ao aborto ou à prostituição, mediante coação, chantagem, suborno ou manipulação; ou que limite ou anule o exercício de seus direitos sexuais e reprodutivos da vítima. | e) configurar dano emocional e diminuição da autoestima ou que lhe prejudique e perturbe o pleno desenvolvimento ou que vise degradar ou controlar suas ações, comportamentos, crenças e decisões, mediante ameaça, constrangimento, humilhação, manipulação, isolamento, vigilância constante, perseguição contumaz, insulto, chantagem, violação de sua intimidade, ridicularização, exploração e limitação do direito de ir e vir ou qualquer outro meio que lhe cause prejuízo à saúde mental e à autodeterminação da vítima.",E,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,11,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
275,3138220,IGEDUC,Vig (CM Tuparetama)/CM Tuparetama/2024,2024,"Sobre a Lei “Maria da Penha”, assinale a alternativa correta.","a) A mencionada Lei cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher e o homem. | b) Os Juizados de Violência Doméstica e Familiar foram criados pela mencionada Lei. | c) Apenas a pessoa do sexo masculino pode ser autora de violência doméstica e familiar. | d) Qualquer conduta que configure calúnia, difamação ou injúria contra a mulher será considerada violência psicológica.",B,U4,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,15,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
284,3124680,FAUEL,Ed Soc (Pref Maringá)/Pref Maringá/2024,2024,"Considerando que a Lei Maria da Penha (Lei nº 11.340/2006) é um marco na proteção e no combate à violência doméstica e familiar contra a mulher no Brasil, analise as afirmativas a seguir. I. A Lei Maria da Penha prevê a criação de juizados especiais de violência doméstica e familiar contra a mulher, que são responsáveis por processar e julgar os casos de violência doméstica, bem como promover o atendimento multidisciplinar às vítimas. II. A Lei Maria da Penha estabelece medidas protetivas de urgência, que podem ser solicitadas pela vítima para garantir sua segurança e integridade física, como o afastamento do agressor do lar ou local de convivência com a vítima, a suspensão da posse ou restrição do porte de armas e a determinação de prestação de alimentos provisórios ou provisionais. III. A Lei Maria da Penha aplica-se a todas as formas de violência doméstica e familiar contra a mulher, incluindo violência física, psicológica, sexual, patrimonial e moral, abrangendo relações de convivência esporádica, sendo necessária a coabitação entre vítima e agressor para a caracterização da violência doméstica. Está correto o que se afirma em 17/42","a) I, II e III. | b) I e II, apenas. https://www.tecconcursos.com.br/questoes/cadernos/100938882/imprimir | c) I e III, apenas. | d) II e III, apenas.",B,U4+U5,,PRATICA_UNIDADE,ATUAL,media,Caderno Lei Maria da Penha - 201 ao 400.pdf,16,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
370,2936068,FGV,Ass Soc (TJ SC)/TJ SC/2024,2024,"Analise as situações hipotéticas a seguir. I. O marido de AGV, 22 anos, é policial militar e a agrediu fisicamente gerando inúmeras lesões de natureza média. Neste caso, poderá o juiz aplicar, de imediato, suspensão da posse ou restrição do porte de armas. II. APL, 35 anos, cessou a relação amorosa com seu namorado no dia 02/03/22; em 10/04/23, movido por ciúmes ao vê-la com um novo companheiro, seu ex- namorado a agrediu verbalmente em via pública. Nesta situação não deve ser aplicada a Lei Maria da Penha pelo eventual delito cometido pelo ex-namorado contra APL. III. ACV, 38 anos, é vítima de constantes agressões pelo marido; desejando dar fim a esta situação ela irá propor ação de divórcio. Neste caso, a ofendida deverá propor ação de divórcio ou de dissolução de união estável no Juizado de Violência Doméstica e Familiar contra a Mulher. IV. CAG, 28 anos, é comprovadamente vítima de esbulho patrimonial por seu esposo. Nesta situação, a prática de violência patrimonial não encontra amparo no âmbito do ordenamento jurídico abarcado pela Lei nº 11.340/2006. No que concerne à Lei nº 11.340/2006 – Lei Maria da Penha, está correto o que se afirma em","a) I, II, III e IV. | b) I e III, apenas. | c) II e IV, apenas. | d) III e IV, apenas.",B,U4,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,34,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
378,2919563,MS (SARMENTO),ASoc Sau (Pref Adustina)/Pref Adustina/2024,2024,"Analise as afirmativas a seguir: I. A violência doméstica e familiar contra a mulher constitui uma das formas de violação dos direitos humanos, cuja política pública que visa coibir a violência doméstica e familiar contra a mulher deve ser feita pela articulação de ações da União, dos Estados, do Distrito Federal e dos Municípios e de ações não- governamentais. II. Define-se violência doméstica e familiar contra a mulher qualquer ação baseada no gênero que lhe cause morte, lesão, sofrimento físico ou sexual. Marque a alternativa CORRETA:","a) As duas afirmativas são verdadeiras. | b) A afirmativa I é verdadeira, e a II é falsa. | c) A afirmativa II é verdadeira, e a I é falsa. | d) As duas afirmativas são falsas.",B,U1+U2,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,36,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
393,2718877,IBAM,CSoc (Pref Guarujá (SP))/Pref Guarujá (SP)/2023,2023,"Ares passou a ridicularizar e a difamar publicamente Atena, sua namorada havia dois anos, como expressão de seu excessivo ciúme e visando controlar suas ações. Atena vem suportando tal sofrimento porque está sob ameaça de morte de seu filho menor, fruto de relação anterior, caso ela se separe de Ares. Não suportando mais a situação nociva, ela toma coragem e rompe com Ares. Pouco tempo depois da separação, Atena recebe uma ligação de Ares que lhe diz para cuidar mais do filho, pois está em perigo, e finaliza abruptamente a ligação. No dia seguinte, Ares desfere um tapa no rosto de Atena quando ela saía da faculdade. Considerando-se o caso hipotético, assinale a afirmativa correta.","a) Ao caso é aplicada a Lei Maria da Penha por se tratar de violência de relação íntima de afeto, mas, por envolver ameaça e lesão corporal leve, a ação penal pública é condicionada à representação de Atena. | b) Ao caso é aplicada a Lei Maria da Penha, visto que a normativa abrange qualquer relação íntima de afeto, na qual o agressor conviva ou tenha convivido com a ofendida, independentemente de coabitação. | c) Ao caso não é aplicada a Lei Maria da Penha por inexistir violência física concreta contra a mulher. A hipótese narrada configura crimes de ameaça e de lesão corporal leve, além de ser aplicado o Estatuto da Criança e do Adolescente em relação ao filho menor. | d) Na hipótese, estão configurados os crimes de ameaça e de lesão corporal leve, previstos no Código Penal, já que a Lei Maria da Penha apenas seria aplicada, caso Ares e Atena ainda estivessem namorando quando da ameaça real e da lesão corporal ou, ao menos, convivessem no mesmo ambiente familiar.",B,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,38,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
395,3622849,URI,ASoc (Pref Entre-Ijuís)/Pref Entre-Ijuís/2023,2023,"A Lei Maria da Penha (Lei nº 11.340 de 07 de agosto de 2006) “cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, nos termos do § 8º do art. 226 da Constituição Federal, da Convenção sobre a Eliminação de Todas as Formas de Violência contra a Mulher, da Convenção Interamericana para Prevenir, Punir e Erradicar a Violência contra a Mulher e de outros tratados internacionais ratificados pela República Federativa do Brasil; dispõe sobre a criação dos Juizados de Violência Doméstica e Familiar contra a Mulher; e estabelece medidas de assistência e proteção às mulheres em situação de violência doméstica e familiar”. Segundo esta Lei, é caracterizada como violência doméstica contra mulher","a) toda ação prática realizada dentro, ou fora do domicílio, que cause sofrimento, aflição psicológica e emocional. | b) toda prática social realizada contra a esposa e os filhos que cause lesão física, ou dano psicológico. | c) qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial. | d) toda ação realizada dentro da unidade familiar que cause sofrimento físico e/ou emocional. | e) qualquer prática social sobre a esposa que gere dor física, emocional e dano moral.",C,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 201 ao 400.pdf,39,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
411,2925122,IBFC,ASoc (EBSERH)/HU Brasil/2023,2023,"De acordo com o art. 29 da lei nº. 11.340/06, os Juizados de Violência Doméstica e Familiar contra a Mulher que vierem a ser criados poderão contar com uma equipe de atendimento multidisciplinar, a ser integrada por profissionais especializados nas áreas psicossocial, jurídica e de saúde. Nesse sentido, é correto afirmar:","a) a violência doméstica e familiar contra a mulher constitui uma das formas de violação dos direitos humanos; | b) Em todos os casos de violência doméstica e familiar contra a mulher, o dever da autoridade policial se restringe a adotar o procedimento consistente na oitiva da vítima e lavratura do boletim de ocorrência; | c) no atendimento à mulher em situação de violência doméstica e familiar, a autoridade policial ou a guarda municipal terá somente a atribuição de fornecer transporte para a ofendida e seus dependentes para abrigo ou local seguro, quando houver risco de vida; | d) A Lei Maria da Penha visa a proteção exclusiva da violência sexual contra a mulher quando o ato se enquadrar no crime de estupro ou de atentado violento ao pudor.",A,U1,29,PRATICA_UNIDADE,ATUAL,media,Caderno Lei Maria da Penha - 401 ao 600.pdf,2,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
