tecId,cadernoNumero,banca,concurso,ano,classificacao_final,sublote_origem,APROVADA_PARA_PROXIMA_FASE,motivo_ressalva
3627565,201,"FEPESE","Pol Mun (Pref Chapecó)/Pref Chapecó/2025",2025,VALIDA,1,true,
3612926,202,"FUNDATEC","Eng (Porto Mauá)/Pref Porto Mauá/Agrônomo/2025",2025,VALIDA,1,true,
3607836,203,"Instituto AVALIA","Ag Pol Jud (PC MS)/PC MS/Escrivão de Polícia Judiciária/2025",2025,VALIDA,1,true,
3605267,204,"CEBRASPE (CESPE)","AJ (TJ PA)/TJ PA/Pedagogia/2025",2025,VALIDA,1,true,
3597162,207,"IBAM","GCM (S Vicente)/Pref São Vicente/2025",2025,VALIDA,1,true,
3596630,208,"IBAM","Or So (Pref Franca)/Pref Franca/2025",2025,VALIDA,1,true,
3850498,209,"FUNDATEC","AAd (Pref Imbé)/Pref Imbé/2025",2025,VALIDA,1,true,
3588587,211,"VUNESP","GM (Itatiba)/Pref Itatiba/2025",2025,VALIDA,1,true,
3586559,212,"Instituto ACCESS","ASoc (Pref Apiaí)/Pref Apiaí/2025",2025,VALIDA,1,true,
3585297,213,"VUNESP","ASoc (Pref Itatiba)/Pref Itatiba/2025",2025,VALIDA,1,true,
3574305,215,"CPCON UEPB","Edu (Pref Pombal)/Pref Pombal/Social/2025",2025,VALIDA,1,true,
3564240,217,"IGEDUC","ASoc (Pref Japaratinga)/Pref Japaratinga/2025",2025,VALIDA,1,true,
3543629,218,"ESMAL","Est (MPE PI)/MPE PI/Graduação/Serviço Social/2025",2025,VALIDA,1,true,
3543432,219,"ESMAL","Est (MPE PI)/MPE PI/Graduação/Psicologia/2025",2025,VALIDA,1,true,
3528682,220,"IDCAP","FTNS (SESAB)/SESAB/Assistente Social/2025",2025,VALIDA_COM_RESSALVA,1,true,
3520358,222,"FACAPE","Ed Soc (Pref Afrânio)/Pref Afrânio/2025",2025,VALIDA,1,true,
3517979,223,"OBJETIVA CONCURSOS","MTP (Pref Lapa)/Pref Lapa/2025",2025,VALIDA,1,true,
3502460,225,"OBJETIVA CONCURSOS","ASoc (Pref Vanini (RS))/Pref Vanini (RS)/2025",2025,VALIDA,1,true,
3501428,226,"CEV UECE","Sold (PM CE)/PM CE/2025",2025,DESATUALIZADA,1,false,
3500154,227,"CEBRASPE (CESPE)","Psic (PF)/PF/Clínico/2025",2025,VALIDA,1,true,
3497447,228,"COGEPS UNIOESTE","GM (Pref Cianorte)/Pref Cianorte/2025",2025,VALIDA,1,true,
3496113,229,"Instituto SECPLAN","GCM (Pref Pres Kennedy)/Pref Pres Kennedy/2025",2025,VALIDA,1,true,
3486856,231,"FUNDATEC","Sold Bomb (CBM RS)/CBM RS/2025",2025,VALIDA,1,true,
3486853,232,"FUNDATEC","Sold Bomb (CBM RS)/CBM RS/2025",2025,VALIDA,1,true,
3467391,235,"Instituto Consulplan","Ass Soc (Niterói Prev)/Niterói Prev/2025",2025,VALIDA,1,true,
3464975,236,"FUNDATEC","Cont (CRC RS)/CRC RS/2025",2025,VALIDA,1,true,
3459059,237,"Unifil","Op PS (Pref Alvorada do Sul)/Pref Alvorada do Sul/2025",2025,VALIDA,1,true,
3453660,238,"IBAM","GCM (Pref Arapiraca)/Pref Arapiraca/2025",2025,VALIDA_COM_RESSALVA,1,true,
3424637,240,"VUNESP","Cuid Soc (Itapevi)/Pref Itapevi/2025",2025,VALIDA_COM_RESSALVA,1,true,
3407936,241,"CEBRASPE (CESPE)","Ana (EMBRAPA)/EMBRAPA/Gestão de Pessoas/Saúde Ocupacional/2025",2025,VALIDA,1,true,
3379851,242,"AVANÇASP","Ori Soc (Pref Caieiras)/Pref Caieiras/2025",2025,VALIDA,1,true,
3379836,243,"AVANÇASP","Ori Soc (Pref Caieiras)/Pref Caieiras/2025",2025,VALIDA,1,true,
3375655,244,"FUNDATEC","Peda Soc (Pref Tangará da S)/Pref Tangará da S/2025",2025,VALIDA_COM_RESSALVA,1,true,
3374318,245,"CEBRASPE (CESPE)","Ana Min (MPE CE)/MPE CE/Direito/2025",2025,VALIDA,1,true,
3371310,246,"OBJETIVA CONCURSOS","ACS (Pref Horizontina)/Pref Horizontina/2025",2025,VALIDA,1,true,
3370534,248,"OBJETIVA CONCURSOS","Mon Soc (Pref Galvão)/Pref Galvão/2025",2025,VALIDA,1,true,
3849975,249,"FUNDATEC","Elet (Pref Imbé)/Pref Imbé/2025",2025,VALIDA,1,true,
3366976,251,"Instituto CONSULPAM","GM (Pref Chorozinho)/Pref Chorozinho/2025",2025,VALIDA,1,true,
3363055,252,"FUNDATEC","ASoc (Tangará S)/Pref Tangará da S/2025",2025,VALIDA_COM_RESSALVA,2,true,
3349908,253,"VUNESP","ASJ (TJ SP)/TJ SP/2025",2025,VALIDA_COM_RESSALVA,2,true,
3340738,254,"SELECON","Ass Soc (Pref Sinop)/Pref Sinop/2025",2025,VALIDA,2,true,
3259252,257,"FGV","Del Pol (PC MG)/PC MG/2025",2025,VALIDA,2,true,
3238223,258,"CEBRASPE (CESPE)","GAAPC (PC DF)/PC DF/Analista de Informática/Banco de Dados/2025",2025,VALIDA,2,true,
3237915,259,"CEBRASPE (CESPE)","AAAPC (PC DF)/PC DF/Agente Administrativo/2025",2025,VALIDA,2,true,
3824093,261,"Instituto ACCESS","ASoc (Pref Rodeiro)/Pref Rodeiro/2025",2025,VALIDA,2,true,
3168457,262,"FEPESE","Mon (Pref São José)/Pref São José/2024",2024,VALIDA_COM_RESSALVA,2,true,
3168235,263,"FEPESE","Cuid (Pref São José)/Pref São José/2024",2024,VALIDA,2,true,
3167673,265,"FGV","AJ (TJ RR)/TJ RR/Psicologia/2024",2024,VALIDA,2,true,
3164311,266,"Ibest","GCM (Pref Cristalina)/Pref Cristalina/2024",2024,VALIDA,2,true,
3169874,267,"VUNESP","GCM (Pref Peruíbe)/Pref Peruíbe/2024",2024,VALIDA,2,true,
3171586,268,"CEBRASPE (CESPE)","ACE (TC DF)/TC DF/Especializada/Arquivologia/2024",2024,VALIDA,2,true,
3163946,271,"IBADE","AssSoc (Pref Recife)/Pref Recife/2024",2024,VALIDA,2,true,
3163528,272,"IBADE","AssSoc (Pref Recife)/Pref Recife/2024",2024,VALIDA,2,true,
3178706,273,"ICECE","GM (Pref Aratuba)/Pref Aratuba/2024",2024,VALIDA,2,true,
