id,materia,assunto,banca,concurso,ano,status,enunciado_inicio,cursos,n_cursos,unidades_pedagogicas,n_unidades,gerada_por_ia
2,Legislação de Guardas Municipais,Estatuto Geral das Guardas Municipais,Papiro — estilo Fundatec,Guarda Municipal de Alvorada,,EXPLICACAO_INCOMPLETA,"Segundo a Lei nº 13.022/2014, qual é um princípio mínimo de atuação das guardas municipais?",Guarda Municipal de Alvorada — Guarda Municipal,1,(nenhuma),0,false
3,Direito Constitucional,Segurança pública,Papiro — estilo Fundatec,Guarda Municipal de Alvorada,,EXPLICACAO_INCOMPLETA,"Nos termos da Constituição Federal, os municípios poderão constituir guardas municipais destinadas principalme",Guarda Municipal de Alvorada — Guarda Municipal,1,(nenhuma),0,false
4,Legislação de Trânsito,Normas de circulação,Papiro — estilo Fundatec,Guarda Municipal de Alvorada,,EXPLICACAO_INCOMPLETA,"Ao se aproximar de uma faixa de pedestres sem semáforo, o condutor deve agir de modo a:",Guarda Municipal de Alvorada — Guarda Municipal,1,(nenhuma),0,false
5,Direito Penal,Crimes contra a Administração Pública,Papiro — estilo Fundatec,Guarda Municipal de Alvorada,,EXPLICACAO_INCOMPLETA,"O servidor que se apropria de bem móvel de que tem posse em razão do cargo pratica, em tese:",Guarda Municipal de Alvorada — Guarda Municipal,1,(nenhuma),0,false
9,Direito Penal,Concurso de pessoas,Papiro — estilo FGV,Polícia Civil do Paraná,,EXPLICACAO_INCOMPLETA,"Para a teoria monista adotada como regra pelo Código Penal, quem concorre para o crime:",Polícia Civil do Paraná — Agente de Polícia Judiciária,1,(nenhuma),0,false
6,Língua Portuguesa,Crase,Papiro — estilo Fundatec,Guarda Municipal de Alvorada,,EXPLICACAO_INCOMPLETA,Assinale a alternativa em que o emprego do acento indicativo de crase está correto.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe | Guarda Municipal de Alvorada — Guarda Municipal,2,(nenhuma),0,false
70,Língua Portuguesa,Crase,Fundatec,Brigada Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Considerando o emprego do acento indicativo de crase, assinale a alternativa que preenche, correta e respectiv",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
115,Língua Portuguesa,Crase,Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_GENERICA,"As lacunas pontilhadas e hachuradas das linhas 01, 12, 24, 33 e 34 do texto-base, visando à correção do texto,",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
328,Língua Portuguesa,Crase,Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Considerando o emprego do acento indicativo de crase, assinale a alternativa que preenche, correta e respectiv",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
16,Língua Portuguesa,Concordância verbal,Papiro — estilo Fundatec,Brigada Militar do Rio Grande do Sul,,EXPLICACAO_INCOMPLETA,Assinale a frase em conformidade com a norma-padrão de concordância verbal.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
